Customer_ID,Name,Age,Gender,City,Signup_Date
CUST001,Customer 1,25,Male,Ghaziabad,2025-10-16
CUST002,Customer 2,32,Male,Faridabad,2024-09-07
CUST003,Customer 3,52,Male,Chennai,2025-11-23
CUST004,Customer 4,20,Male,Faridabad,2025-03-08
CUST005,Customer 5,32,Male,Bengaluru,2024-08-11
CUST006,Customer 6,59,Female,Noida,2024-07-22
CUST007,Customer 7,55,Female,Delhi,2025-04-04
CUST008,Customer 8,28,Female,Jaipur,2026-02-16
CUST009,Customer 9,27,Male,Jaipur,2024-10-11
CUST010,Customer 10,23,Female,Faridabad,2024-04-14
CUST011,Customer 11,40,Female,Delhi,2025-01-02
CUST012,Customer 12,47,Male,Mumbai,2026-01-17
CUST013,Customer 13,53,Female,Chennai,2024-03-21
CUST014,Customer 14,54,Male,Faridabad,2025-01-05
CUST015,Customer 15,60,Male,Ghaziabad,2024-02-16
CUST016,Customer 16,32,Male,Mumbai,2024-03-22
CUST017,Customer 17,47,Female,Gurugram,2024-10-11
CUST018,Customer 18,40,Male,Ghaziabad,2025-01-14
CUST019,Customer 19,59,Male,Chennai,2025-12-19
CUST020,Customer 20,28,Male,Gurugram,2025-10-12
CUST021,Customer 21,42,Female,Bengaluru,2025-04-18
CUST022,Customer 22,38,Male,Noida,2024-08-12
CUST023,Customer 23,20,Female,Mumbai,2026-04-21
CUST024,Customer 24,22,Male,Chennai,2024-10-01
CUST025,Customer 25,38,Male,Pune,2026-01-05
CUST026,Customer 26,59,Female,Gurugram,2025-02-09
CUST027,Customer 27,26,Male,Bengaluru,2024-09-28
CUST028,Customer 28,34,Female,Chennai,2025-07-05
CUST029,Customer 29,41,Male,Gurugram,2025-02-12
CUST030,Customer 30,49,Male,Delhi,2025-06-05
CUST031,Customer 31,27,Male,Mumbai,2024-04-22
CUST032,Customer 32,22,Female,Mumbai,2025-09-02
CUST033,Customer 33,47,Female,Bengaluru,2025-09-02
CUST034,Customer 34,25,Female,Jaipur,2024-01-12
CUST035,Customer 35,36,Female,Gurugram,2024-04-24
CUST036,Customer 36,18,Female,Bengaluru,2025-04-09
CUST037,Customer 37,29,Male,Ghaziabad,2026-02-19
CUST038,Customer 38,50,Male,Gurugram,2025-10-16
CUST039,Customer 39,28,Male,Chennai,2025-01-17
CUST040,Customer 40,49,Male,Faridabad,2024-11-27
CUST041,Customer 41,37,Male,Delhi,2025-01-06
CUST042,Customer 42,54,Male,Faridabad,2024-09-03
CUST043,Customer 43,49,Male,Bengaluru,2026-01-19
CUST044,Customer 44,26,Male,Pune,2026-02-23
CUST045,Customer 45,28,Female,Bengaluru,2025-07-16
CUST046,Customer 46,45,Male,Bengaluru,2025-09-13
CUST047,Customer 47,30,Female,Mumbai,2026-02-12
CUST048,Customer 48,59,Female,Pune,2025-11-18
CUST049,Customer 49,46,Male,Noida,2025-06-13
CUST050,Customer 50,22,Female,Delhi,2024-08-18
CUST051,Customer 51,53,Male,Chennai,2025-08-25
CUST052,Customer 52,18,Male,Delhi,2024-08-13
CUST053,Customer 53,22,Male,Jaipur,2024-08-22
CUST054,Customer 54,50,Male,Ghaziabad,2024-03-13
CUST055,Customer 55,49,Male,Bengaluru,2025-11-16
CUST056,Customer 56,54,Female,Noida,2024-05-15
CUST057,Customer 57,48,Female,Noida,2026-03-14
CUST058,Customer 58,24,Female,Jaipur,2024-04-06
CUST059,Customer 59,44,Female,Delhi,2025-03-09
CUST060,Customer 60,59,Male,Delhi,2025-11-20
CUST061,Customer 61,39,Male,Noida,2025-02-16
CUST062,Customer 62,30,Female,Gurugram,2024-07-15
CUST063,Customer 63,29,Female,Pune,2025-03-08
CUST064,Customer 64,22,Female,Bengaluru,2024-09-12
CUST065,Customer 65,21,Male,Faridabad,2024-04-10
CUST066,Customer 66,33,Male,Mumbai,2026-02-10
CUST067,Customer 67,48,Male,Mumbai,2025-05-12
CUST068,Customer 68,28,Female,Delhi,2024-03-01
CUST069,Customer 69,34,Female,Ghaziabad,2025-02-03
CUST070,Customer 70,53,Female,Gurugram,2025-03-09
CUST071,Customer 71,36,Male,Delhi,2024-07-13
CUST072,Customer 72,52,Male,Jaipur,2025-08-16
CUST073,Customer 73,21,Female,Bengaluru,2024-02-28
CUST074,Customer 74,28,Male,Bengaluru,2025-06-27
CUST075,Customer 75,29,Male,Chennai,2024-03-23
CUST076,Customer 76,33,Female,Faridabad,2024-03-10
CUST077,Customer 77,33,Male,Chennai,2025-08-06
CUST078,Customer 78,44,Female,Ghaziabad,2024-03-24
CUST079,Customer 79,60,Female,Noida,2024-07-28
CUST080,Customer 80,43,Male,Ghaziabad,2024-09-28
CUST081,Customer 81,38,Male,Delhi,2025-04-13
CUST082,Customer 82,57,Male,Faridabad,2025-04-14
CUST083,Customer 83,31,Female,Gurugram,2025-07-04
CUST084,Customer 84,22,Male,Jaipur,2024-12-23
CUST085,Customer 85,28,Female,Bengaluru,2024-10-18
CUST086,Customer 86,37,Male,Bengaluru,2025-12-21
CUST087,Customer 87,60,Male,Gurugram,2024-11-02
CUST088,Customer 88,25,Male,Bengaluru,2024-09-27
CUST089,Customer 89,35,Female,Chennai,2024-06-08
CUST090,Customer 90,39,Male,Ghaziabad,2024-08-03
CUST091,Customer 91,49,Female,Delhi,2025-06-01
CUST092,Customer 92,58,Female,Ghaziabad,2024-04-04
CUST093,Customer 93,18,Female,Gurugram,2024-02-15
CUST094,Customer 94,34,Male,Pune,2025-10-14
CUST095,Customer 95,45,Male,Faridabad,2025-07-18
CUST096,Customer 96,27,Male,Jaipur,2024-03-18
CUST097,Customer 97,53,Male,Mumbai,2025-08-19
CUST098,Customer 98,20,Female,Jaipur,2024-05-10
CUST099,Customer 99,20,Female,Noida,2026-03-26
CUST100,Customer 100,33,Male,Jaipur,2025-11-29
