Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Price,Discount
ORD0001,2025-12-07,CUST025,PROD027,4,5292.26,5
ORD0002,2025-06-04,CUST079,PROD037,4,16997.44,20
ORD0003,2025-05-27,CUST001,PROD020,2,6958.62,15
ORD0004,2025-12-02,CUST075,PROD039,3,16315.69,15
ORD0005,2025-12-12,CUST057,PROD029,2,17296.83,20
ORD0006,2025-12-04,CUST061,PROD011,1,5303.02,10
ORD0007,2025-11-21,CUST066,PROD043,5,7286.43,10
ORD0008,2025-12-11,CUST012,PROD016,3,9849.5,5
ORD0009,2025-01-13,CUST026,PROD010,1,20202.77,5
ORD0010,2025-02-07,CUST061,PROD040,4,13113.99,15
ORD0011,2025-04-10,CUST081,PROD037,4,16997.44,15
ORD0012,2025-03-17,CUST052,PROD016,1,9849.5,0
ORD0013,2025-04-23,CUST100,PROD028,2,12987.12,20
ORD0014,2025-10-13,CUST060,PROD004,2,5923.75,0
ORD0015,2025-08-26,CUST059,PROD009,5,9936.78,20
ORD0016,2025-08-15,CUST077,PROD021,5,1990.01,20
ORD0017,2025-08-17,CUST055,PROD036,2,17729.88,15
ORD0018,2025-05-07,CUST058,PROD017,3,19487.26,20
ORD0019,2025-05-03,CUST063,PROD041,3,16821.67,15
ORD0020,2025-05-01,CUST010,PROD019,3,13409.38,10
ORD0021,2025-02-11,CUST041,PROD035,2,17952.74,5
ORD0022,2025-12-22,CUST030,PROD025,2,776.12,5
ORD0023,2025-07-28,CUST009,PROD027,3,5292.26,20
ORD0024,2025-02-01,CUST060,PROD027,2,5292.26,15
ORD0025,2025-12-23,CUST050,PROD038,1,8022.98,20
ORD0026,2025-01-04,CUST049,PROD031,3,10213.09,10
ORD0027,2025-08-03,CUST097,PROD025,5,776.12,20
ORD0028,2025-09-07,CUST078,PROD015,2,4980.81,10
ORD0029,2025-01-15,CUST056,PROD032,4,20191.92,10
ORD0030,2025-07-27,CUST086,PROD044,2,7156.42,15
ORD0031,2025-10-01,CUST017,PROD040,1,13113.99,15
ORD0032,2025-12-06,CUST076,PROD037,1,16997.44,0
ORD0033,2025-03-11,CUST083,PROD028,4,12987.12,5
ORD0034,2025-07-14,CUST007,PROD017,3,19487.26,5
ORD0035,2025-06-22,CUST059,PROD021,4,1990.01,10
ORD0036,2025-05-10,CUST097,PROD027,1,5292.26,15
ORD0037,2025-01-27,CUST003,PROD035,3,17952.74,5
ORD0038,2025-11-30,CUST084,PROD005,1,19076.31,0
ORD0039,2025-01-11,CUST032,PROD013,5,9411.16,5
ORD0040,2025-08-31,CUST031,PROD009,1,9936.78,20
ORD0041,2025-12-25,CUST028,PROD030,3,10010.61,10
ORD0042,2025-11-07,CUST022,PROD039,1,16315.69,5
ORD0043,2025-10-24,CUST040,PROD007,1,4417.67,10
ORD0044,2025-07-12,CUST074,PROD044,4,7156.42,5
