Product_ID,Category,Sub_Category,Cost,Selling_Price
PROD001,Electronics,Mobiles,12981,17471.9
PROD002,Electronics,Mobiles,14531,18777.42
PROD003,Electronics,Mobiles,10368,14642.9
PROD004,Electronics,Laptops,4078,5923.75
PROD005,Electronics,Laptops,13305,19076.31
PROD006,Electronics,Laptops,14641,18949.89
PROD007,Electronics,Accessories,3138,4417.67
PROD008,Electronics,Accessories,5642,8033.28
PROD009,Electronics,Accessories,6945,9936.78
PROD010,Clothing,Men,14356,20202.77
PROD011,Clothing,Men,4265,5303.02
PROD012,Clothing,Men,13100,18280.36
PROD013,Clothing,Women,6467,9411.16
PROD014,Clothing,Women,14267,18757.42
PROD015,Clothing,Women,3469,4980.81
PROD016,Clothing,Kids,7741,9849.5
PROD017,Clothing,Kids,13643,19487.26
PROD018,Clothing,Kids,3928,4823.68
PROD019,Home,Furniture,11013,13409.38
PROD020,Home,Furniture,5578,6958.62
PROD021,Home,Furniture,1337,1990.01
PROD022,Home,Kitchen,4773,6075.56
PROD023,Home,Kitchen,8546,11023.38
PROD024,Home,Kitchen,14022,18756.89
PROD025,Home,Decor,652,776.12
PROD026,Home,Decor,4479,5430.78
PROD027,Home,Decor,4549,5292.26
PROD028,Beauty,Skincare,9974,12987.12
PROD029,Beauty,Skincare,12136,17296.83
PROD030,Beauty,Skincare,7349,10010.61
PROD031,Beauty,Haircare,8579,10213.09
PROD032,Beauty,Haircare,14937,20191.92
PROD033,Beauty,Haircare,4373,5096.89
PROD034,Beauty,Makeup,7344,8449.95
PROD035,Beauty,Makeup,13413,17952.74
PROD036,Beauty,Makeup,11987,17729.88
PROD037,Sports,Fitness,12275,16997.44
PROD038,Sports,Fitness,6167,8022.98
PROD039,Sports,Fitness,11082,16315.69
PROD040,Sports,Outdoor,10409,13113.99
PROD041,Sports,Outdoor,14093,16821.67
PROD042,Sports,Outdoor,14946,18758.92
PROD043,Sports,Footwear,5267,7286.43
PROD044,Sports,Footwear,5544,7156.42
PROD045,Sports,Footwear,5044,6779.36
